PERIOD,cl_id,MCC,currency,TRDATETIME,amount,target_flag,target_sum,trx_category_mul,year,ymonth,mday,wday,is_weekend,mcc_group,amount_log,channel_type_type0,channel_type_type1,channel_type_type2,channel_type_type3,channel_type_type4,channel_type_type5,trx_category_BACK_TRX,trx_category_C2C_IN,trx_category_C2C_OUT,trx_category_CASH_ADV,trx_category_CAT,trx_category_DEPOSIT,trx_category_POS,trx_category_WD_ATM_OTHER,trx_category_WD_ATM_PARTNER,trx_category_WD_ATM_ROS
01/06/2017,913,7230,810,2017-06-14 00:00:00,2100.0,1,449004.29,-1,2017,6,14,2,False,13.0,2100.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,4183,5499,810,2017-07-20 00:00:00,140.0,1,132726.55,-1,2017,7,20,3,False,8.0,140.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/11/2017,2253,5735,810,2017-11-28 00:00:00,397.0,1,59.0,-1,2017,11,28,1,False,11.0,397.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,225,5411,810,2017-08-07 00:00:00,44.9,1,466235.45,-1,2017,8,7,0,False,8.0,44.9,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,9869,5812,810,2017-03-30 00:00:00,350.0,0,0.0,-1,2017,3,30,3,False,11.0,350.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/10/2017,4470,5921,810,2017-10-01 00:00:00,265.0,1,49099.0,-1,2017,10,1,6,True,11.0,265.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,5707,5411,810,2016-12-21 00:00:00,409.62,1,1032.63,-1,2016,12,21,2,False,8.0,409.62,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,1289,5812,810,2017-05-05 00:00:00,310.0,1,151619.28,-1,2017,5,5,4,False,11.0,310.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2017,3019,5812,144,2017-12-30 00:00:00,6058.94,0,0.0,-1,2017,12,30,5,True,11.0,6058.94,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,4794,5521,810,2017-04-06 00:00:00,20000.0,1,583911.45,-1,2017,4,6,3,False,9.0,20000.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,6035,5541,810,2017-07-21 00:00:00,1000.0,0,0.0,-1,2017,7,21,4,False,9.0,1000.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2017,1862,5411,810,2017-02-16 00:00:00,651.0,1,18940.99,-1,2017,2,16,3,False,8.0,651.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,4014,5411,810,2017-03-09 00:00:00,258.0,1,91697.35,-1,2017,3,9,3,False,8.0,258.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/09/2017,8327,6012,810,2017-09-16 15:48:08,2600.0,0,0.0,-1,2017,9,16,5,True,7.0,2600.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
01/11/2016,5612,5541,810,2016-11-23 00:00:00,1000.0,1,44341.11,-1,2016,11,23,2,False,9.0,1000.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,1955,5812,810,2017-04-30 00:00:00,250.0,1,81608.7,-1,2017,4,30,6,True,11.0,250.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,4317,5691,810,2017-05-21 00:00:00,140.0,1,119306.3,-1,2017,5,21,6,True,10.0,140.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,6517,8099,810,2017-03-06 00:00:00,2070.0,0,0.0,-1,2017,3,6,0,False,17.0,2070.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2017,5877,6011,810,2017-02-15 12:26:40,30000.0,0,0.0,1,2017,2,15,2,False,7.0,30000.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
01/01/2017,1830,5411,810,2017-01-23 00:00:00,76.5,1,122786.42,-1,2017,1,23,0,False,8.0,76.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,417,5812,810,2017-04-07 00:00:00,320.0,1,133329.76,-1,2017,4,7,4,False,11.0,320.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,3567,5813,810,2017-05-30 00:00:00,205.0,1,110617.96,-1,2017,5,30,1,False,11.0,205.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,2096,5945,810,2017-07-06 00:00:00,1539.0,1,55306.47,-1,2017,7,6,3,False,11.0,1539.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,10045,5411,810,2016-12-30 00:00:00,467.2,1,1494.49,-1,2016,12,30,4,False,8.0,467.2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,9638,5912,810,2017-04-30 00:00:00,1066.1,0,0.0,-1,2017,4,30,6,True,11.0,1066.1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,4846,5411,810,2017-06-10 00:00:00,2088.0,1,131.46,-1,2017,6,10,5,True,8.0,2088.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2018,1295,6011,810,2018-02-12 11:18:40,14500.0,0,0.0,-1,2018,2,12,0,False,7.0,14500.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
01/12/2016,6605,5499,810,2016-12-27 00:00:00,70.8,0,0.0,-1,2016,12,27,1,False,8.0,70.8,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,1957,5411,810,2017-06-21 00:00:00,52.06,1,249155.04,-1,2017,6,21,2,False,8.0,52.06,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,3523,5311,810,2017-08-04 00:00:00,762.5,1,205648.99,-1,2017,8,4,4,False,8.0,762.5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,98,5812,810,2017-05-06 00:00:00,1125.0,1,180482.96,-1,2017,5,6,5,True,11.0,1125.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
01/01/2017,3168,5814,810,2017-01-12 00:00:00,233.0,0,0.0,-1,2017,1,12,3,False,11.0,233.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,9073,6011,810,2017-05-04 13:50:16,1400.0,0,0.0,-1,2017,5,4,3,False,7.0,1400.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
01/04/2017,1839,5912,810,2017-04-23 00:00:00,563.0,1,132972.04,-1,2017,4,23,6,True,11.0,563.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/09/2017,8407,5912,810,2017-09-14 00:00:00,132.2,0,0.0,-1,2017,9,14,3,False,11.0,132.2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,2021,6011,810,2017-05-08 00:00:00,1000.0,1,103555.98,-1,2017,5,8,0,False,7.0,1000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
01/08/2017,2756,6011,810,2017-08-17 00:00:00,5000.0,1,100933.62,1,2017,8,17,3,False,7.0,5000.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
01/06/2017,8621,5411,810,2017-06-25 00:00:00,308.49,1,181462.18,-1,2017,6,25,6,True,8.0,308.49,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/10/2017,2438,5411,810,2017-10-10 00:00:00,140.0,1,190850.33,-1,2017,10,10,1,False,8.0,140.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/01/2017,7995,4816,810,2017-01-19 00:00:00,1.0,0,0.0,1,2017,1,19,3,False,6.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
01/10/2017,9978,5039,810,2017-10-01 00:00:00,452.0,0,0.0,-1,2017,10,1,6,True,1.0,452.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/01/2017,609,6011,810,2017-01-25 00:00:00,1000.0,1,110336.91,-1,2017,1,25,2,False,7.0,1000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
01/01/2017,9977,5411,810,2017-01-18 00:00:00,874.0,0,0.0,-1,2017,1,18,2,False,8.0,874.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,2366,5661,810,2017-05-13 00:00:00,3192.0,1,129563.06,-1,2017,5,13,5,True,10.0,3192.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,3800,5411,810,2017-07-09 00:00:00,35.99,0,0.0,-1,2017,7,9,6,True,8.0,35.99,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,1830,5999,810,2016-12-13 00:00:00,4900.0,1,122786.42,-1,2016,12,13,1,False,11.0,4900.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2017,1592,6011,826,2017-12-03 00:00:00,40.0,1,266823.02,-1,2017,12,3,6,True,7.0,40.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
01/07/2017,691,6011,810,2017-07-18 13:21:04,85000.0,0,0.0,1,2017,7,18,1,False,7.0,85000.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
01/02/2017,556,5812,810,2017-02-14 00:00:00,550.0,1,815567.39,-1,2017,2,14,1,False,11.0,550.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,3120,6012,810,2017-03-24 00:00:00,5000.0,0,0.0,-1,2017,3,24,4,False,7.0,5000.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
01/03/2017,2019,4816,810,2017-03-16 00:00:00,1340.0,1,102706.21,-1,2017,3,16,3,False,6.0,1340.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/07/2017,1564,5641,810,2017-07-23 00:00:00,1427.9,1,288518.61,-1,2017,7,23,6,True,10.0,1427.9,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/03/2017,6246,3011,810,2017-03-13 00:00:00,72000.0,0,0.0,1,2017,3,13,0,False,2.0,72000.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
01/03/2017,4171,4121,810,2017-03-16 00:00:00,210.0,0,0.0,-1,2017,3,16,3,False,5.0,210.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/08/2017,2087,5200,810,2017-08-29 00:00:00,558.0,1,109817.16,-1,2017,8,29,1,False,8.0,558.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,6447,5814,810,2017-06-07 00:00:00,355.0,0,0.0,-1,2017,6,7,2,False,11.0,355.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,6803,5812,810,2017-04-04 00:00:00,80.0,1,208050.7,-1,2017,4,4,1,False,11.0,80.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/05/2017,1261,4722,810,2017-05-08 00:00:00,760.0,1,384351.32,-1,2017,5,8,0,False,5.0,760.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/12/2016,9412,6011,810,2016-12-15 00:00:00,45000.0,0,0.0,-1,2016,12,15,3,False,7.0,45000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
01/05/2017,2688,5999,810,2017-05-25 17:43:19,4008.48,0,0.0,-1,2017,5,25,3,False,11.0,4008.48,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,5793,5411,810,2017-04-16 00:00:00,752.09,1,133.35,-1,2017,4,16,6,True,8.0,752.09,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/04/2017,731,5722,810,2017-04-29 00:00:00,49973.0,1,304230.98,-1,2017,4,29,5,True,11.0,49973.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/11/2016,9233,5732,810,2016-11-27 00:00:00,13270.0,0,0.0,-1,2016,11,27,6,True,11.0,13270.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
01/06/2017,302,6012,810,2017-06-06 00:00:00,40000.0,1,705822.72,1,2017,6,6,1,False,7.0,40000.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
01/10/2017,1933,5814,810,2017-10-15 00:00:00,260.0,1,132574.84,-1,2017,10,15,6,True,11.0,260.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
01/02/2017,46,5912,810,2017-02-09 00:00:00,849.0,0,0.0,-1,2017,2,9,3,False,11.0,849.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
